,neg,neu,pos,compound
169,0.0,1.0,0.0,0.0
170,0.0,0.672,0.328,0.6588
171,0.0,1.0,0.0,0.0
172,0.0,1.0,0.0,0.0
173,0.13,0.87,0.0,-0.34
174,0.138,0.862,0.0,-0.34
175,0.0,0.748,0.252,0.658
176,0.0,1.0,0.0,0.0
177,0.0,1.0,0.0,0.0
178,0.141,0.602,0.257,0.4404
179,0.0,0.726,0.274,0.5994
180,0.0,0.638,0.362,0.8176
181,0.199,0.715,0.087,-0.4926
182,0.0,1.0,0.0,0.0
183,0.0,1.0,0.0,0.0
184,0.0,1.0,0.0,0.0
185,0.139,0.861,0.0,-0.3802
186,0.0,1.0,0.0,0.0
187,0.0,0.687,0.313,0.6249
188,0.0,1.0,0.0,0.0
189,0.114,0.597,0.289,0.5423
190,0.0,1.0,0.0,0.0
191,0.0,0.827,0.173,0.7214
192,0.16,0.84,0.0,-0.357
193,0.0,0.827,0.173,0.6361
194,0.0,0.915,0.085,0.0772
195,0.112,0.727,0.16,0.3074
196,0.0,1.0,0.0,0.0
197,0.253,0.747,0.0,-0.6597
198,0.0,1.0,0.0,0.0
199,0.0,1.0,0.0,0.0
200,0.0,0.427,0.573,0.902
201,0.0,0.711,0.289,0.6908
202,0.1,0.776,0.123,0.128
203,0.0,0.819,0.181,0.4767
204,0.07,0.93,0.0,-0.0516
205,0.304,0.696,0.0,-0.7906
206,0.0,0.852,0.148,0.3818
207,0.0,0.321,0.679,0.8908
208,0.14,0.512,0.349,0.6696
209,0.16,0.7,0.14,0.128
210,0.0,1.0,0.0,0.0
211,0.211,0.617,0.172,-0.2263
212,0.0,0.87,0.13,0.4019
213,0.0,0.842,0.158,0.4939
214,0.0,0.775,0.225,0.7003
215,0.056,0.607,0.336,0.7184
216,0.0,0.805,0.195,0.4404
217,0.084,0.592,0.324,0.7845
218,0.0,0.651,0.349,0.7096
219,0.0,1.0,0.0,0.0
220,0.0,1.0,0.0,0.0
221,0.101,0.769,0.13,0.1506
222,0.0,0.636,0.364,0.8464
223,0.0,1.0,0.0,0.0
224,0.0,0.52,0.48,0.743
225,0.0,0.831,0.169,0.3506
226,0.227,0.773,0.0,-0.6908
227,0.0,0.693,0.307,0.7964
228,0.0,0.619,0.381,0.8122
229,0.0,0.725,0.275,0.6486
230,0.074,0.926,0.0,-0.1531
231,0.0,1.0,0.0,0.0
232,0.058,0.656,0.286,0.7845
